workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
deep-s,8,1,2393,4828,1048,0.235,0.086,0.669,0.000,0.292,0.110
deep-s,8,2,1048,2096,0,0.231,0.101,0.318,0.000,0.138,0.037
deep-m,8,0,17367,115794,47572,1.272,0.496,10.606,0.000,5.303,1.500
deep-m,8,1,47572,95336,26271,2.689,0.452,9.899,0.000,5.116,1.218
deep-m,8,2,26271,52514,0,2.613,0.547,5.651,0.000,3.028,0.467
deep-m,8,0,17367,115794,47572,1.266,0.394,11.190,0.000,5.903,1.391
deep-m,8,1,47572,95336,26271,2.864,0.430,10.355,0.000,5.341,1.165
deep-m,8,2,26271,52514,0,2.650,0.566,5.801,0.000,3.135,0.453
deep-m,8,0,17367,115794,47572,1.270,0.343,11.181,0.000,5.819,1.350
deep-m,8,1,47572,95336,26271,2.773,0.497,10.078,0.000,5.212,1.141
deep-m,8,2,26271,52514,0,2.668,0.594,5.832,0.000,3.133,0.467
deep-m,8,0,17367,115794,47572,1.260,0.389,11.321,0.000,6.084,1.347
deep-m,8,1,47572,95336,26271,2.700,0.413,10.181,0.000,5.367,1.153
deep-m,8,2,26271,52514,0,2.746,0.573,5.834,0.000,3.149,0.454
deep-m,8,0,17367,115794,47572,1.257,0.375,11.321,0.000,6.038,1.340
deep-m,8,1,47572,95336,26271,2.600,0.479,9.966,0.000,4.888,1.376
deep-m,8,2,26271,52514,0,2.661,0.596,5.954,0.000,3.129,0.492
deep-m,8,0,17367,115794,47572,1.252,0.345,11.449,0.000,6.092,1.356
deep-m,8,1,47572,95336,26271,2.684,0.476,9.787,0.000,4.963,1.124
deep-m,8,2,26271,52514,0,2.661,0.592,5.859,0.000,3.159,0.463
deep-l,8,0,86518,576676,225233,5.224,0.605,33.147,0.000,7.103,6.269
deep-l,8,1,225233,450223,116944,12.323,1.194,32.679,0.000,9.692,6.343
deep-l,8,2,116944,233969,0,12.844,2.649,17.495,0.000,6.180,1.881
deep-l,8,0,86518,576676,225233,5.230,0.599,33.083,0.000,7.562,6.225
deep-l,8,1,225233,450223,116944,10.777,1.446,32.818,0.000,9.791,6.290
deep-l,8,2,116944,233969,0,12.984,2.570,17.047,0.000,6.002,1.696
deep-l,8,0,86518,576676,225233,4.989,0.612,33.258,0.000,7.277,6.274
deep-l,8,1,225233,450223,116944,10.931,1.446,32.581,0.000,9.460,6.469
deep-l,8,2,116944,233969,0,12.791,2.675,16.953,0.000,5.908,1.653
deep-l,8,0,86518,576676,225233,5.245,0.615,33.109,0.000,7.206,6.310
deep-l,8,1,225233,450223,116944,11.039,1.239,32.288,0.000,9.616,6.244
deep-l,8,2,116944,233969,0,12.849,2.591,17.073,0.000,6.116,1.626
