file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
demo.20.ground.smt2,,nelson_topo_iter,1,0,unsat,1.644584,0.082530,0.660510,0.574160,0.079150,0.000000,0.004370,
demo.20.ground.smt2,,nelson_simple,1,0,unsat,1.416745,0.077390,0.518430,0.524020,0.048750,0.000000,0.003160,
demo.20.ground.smt2,,par_async,1,0,unsat,1.334321,0.069170,0.472880,0.453360,0.109400,0.000000,0.001630,
demo.20.ground.smt2,,par_async,2,0,unsat,1.815264,0.072130,0.798670,0.581730,0.119630,0.000000,0.002970,
demo.20.ground.smt2,,par_async,4,0,unsat,1.409485,0.077300,0.530220,0.484160,0.076300,0.000000,0.004840,
demo.20.ground.smt2,,par_async,8,0,unsat,1.473569,0.077730,0.574590,0.496440,0.070360,0.000000,0.010100,
demo.20.ground.smt2,,par_async,16,0,unsat,1.339488,0.076680,0.478700,0.461120,0.057690,0.000000,0.024700,
demo.20.ground.smt2,,par_async,32,0,unsat,1.836449,0.070220,0.830760,0.570650,0.067630,0.000000,0.064170,
demo.20.ground.smt2,,par_async,64,0,unsat,1.554272,0.076230,0.565300,0.506760,0.073160,0.000000,0.097280,
demo.20.ground.smt2,,par_async,128,0,unsat,1.653329,0.077480,0.624440,0.531300,0.072990,0.000000,0.122740,
demo.20.ground.smt2,,par_async,144,0,unsat,1.782115,0.081990,0.666710,0.562810,0.072870,0.000000,0.143600,
demo.21.ground.smt2,,nelson_topo_iter,1,0,unsat,1.153987,0.070450,0.441690,0.415620,0.037300,0.000000,0.002440,
demo.21.ground.smt2,,nelson_simple,1,0,unsat,1.641061,0.076060,0.793830,0.510000,0.055200,0.000000,0.003390,
demo.21.ground.smt2,,par_async,1,0,unsat,1.184383,0.077580,0.408850,0.360920,0.148230,0.000000,0.001300,
demo.21.ground.smt2,,par_async,2,0,unsat,1.251323,0.077360,0.474390,0.395870,0.116300,0.000000,0.001650,
demo.21.ground.smt2,,par_async,4,0,unsat,1.670734,0.096550,0.789260,0.460980,0.124280,0.000000,0.011500,
demo.21.ground.smt2,,par_async,8,0,unsat,1.224581,0.076610,0.453570,0.412300,0.087780,0.000000,0.008760,
demo.21.ground.smt2,,par_async,16,0,unsat,1.510842,0.075170,0.674540,0.459000,0.089260,0.000000,0.022420,
demo.21.ground.smt2,,par_async,32,0,unsat,1.378628,0.069720,0.562510,0.430680,0.087980,0.000000,0.034720,
demo.21.ground.smt2,,par_async,64,0,unsat,1.395836,0.075610,0.494250,0.445500,0.096790,0.000000,0.069880,
demo.21.ground.smt2,,par_async,128,0,unsat,1.357223,0.077380,0.475950,0.440570,0.094510,0.000000,0.097480,
demo.21.ground.smt2,,par_async,144,0,unsat,1.325887,0.077690,0.408870,0.439450,0.099830,0.000000,0.122020,
demo.22.ground.smt2,,nelson_topo_iter,1,0,unsat,1.149119,0.056510,0.479560,0.400490,0.031260,0.000000,0.002660,
demo.22.ground.smt2,,nelson_simple,1,0,unsat,1.585706,0.078770,0.765130,0.505330,0.034200,0.000000,0.003580,
demo.22.ground.smt2,,par_async,1,0,unsat,1.116134,0.058020,0.400680,0.363410,0.112720,0.000000,0.001430,
demo.22.ground.smt2,,par_async,2,0,unsat,1.197481,0.056810,0.436420,0.422440,0.089830,0.000000,0.002230,
demo.22.ground.smt2,,par_async,4,0,unsat,1.383274,0.049560,0.594800,0.456600,0.087250,0.000000,0.004340,
demo.22.ground.smt2,,par_async,8,0,unsat,1.155488,0.052260,0.432950,0.408080,0.068950,0.000000,0.010120,
demo.22.ground.smt2,,par_async,16,0,unsat,1.631757,0.054420,0.770450,0.491460,0.070060,0.000000,0.023640,
demo.22.ground.smt2,,par_async,32,0,unsat,1.100578,0.055340,0.381760,0.379720,0.056890,0.000000,0.038970,
demo.22.ground.smt2,,par_async,64,0,unsat,1.260607,0.053890,0.431070,0.443910,0.070000,0.000000,0.088710,
demo.22.ground.smt2,,par_async,128,0,unsat,1.349666,0.055560,0.501380,0.431210,0.070380,0.000000,0.116470,
demo.22.ground.smt2,,par_async,144,0,unsat,1.580352,0.058000,0.482690,0.642740,0.092360,0.000000,0.127430,
demo.23.ground.smt2,,nelson_topo_iter,1,0,unsat,0.971825,0.047190,0.396200,0.354640,0.020140,0.000000,0.002330,
demo.23.ground.smt2,,nelson_simple,1,0,unsat,1.159566,0.046990,0.475530,0.436580,0.024950,0.000000,0.003350,
demo.23.ground.smt2,,par_async,1,0,unsat,1.453914,0.066370,0.650710,0.434650,0.141830,0.000000,0.001840,
demo.23.ground.smt2,,par_async,2,0,unsat,1.420082,0.050070,0.660900,0.441900,0.104970,0.000000,0.002280,
demo.23.ground.smt2,,par_async,4,0,unsat,1.413816,0.049690,0.640830,0.460550,0.088130,0.000000,0.004010,
demo.23.ground.smt2,,par_async,8,0,unsat,1.033305,0.047680,0.368230,0.376340,0.071110,0.000000,0.010350,
demo.23.ground.smt2,,par_async,16,0,unsat,1.183638,0.049630,0.470730,0.415540,0.066870,0.000000,0.022670,
demo.23.ground.smt2,,par_async,32,0,unsat,0.979436,0.048380,0.331990,0.345710,0.060220,0.000000,0.034650,
demo.23.ground.smt2,,par_async,64,0,unsat,1.474234,0.057770,0.660190,0.448060,0.076140,0.000000,0.073600,
demo.23.ground.smt2,,par_async,128,0,unsat,1.311579,0.047970,0.556150,0.378650,0.069220,0.000000,0.109550,
demo.23.ground.smt2,,par_async,144,0,unsat,1.171784,0.044710,0.336940,0.438680,0.084160,0.000000,0.112040,
demo.24.ground.smt2,,nelson_topo_iter,1,0,unsat,0.696241,0.029790,0.267200,0.264360,0.034320,0.000000,0.002180,
demo.24.ground.smt2,,nelson_simple,1,0,unsat,0.629207,0.028690,0.238980,0.240050,0.022670,0.000000,0.002160,
demo.24.ground.smt2,,par_async,1,0,unsat,0.619797,0.031310,0.200100,0.224750,0.066440,0.000000,0.001240,
demo.24.ground.smt2,,par_async,2,0,unsat,0.923385,0.029060,0.363230,0.351390,0.065680,0.000000,0.001990,
demo.24.ground.smt2,,par_async,4,0,unsat,0.722182,0.033970,0.243830,0.276710,0.051710,0.000000,0.003480,
demo.24.ground.smt2,,par_async,8,0,unsat,0.670800,0.032280,0.246860,0.253230,0.034860,0.000000,0.006280,
demo.24.ground.smt2,,par_async,16,0,unsat,0.652104,0.029410,0.244480,0.224650,0.031440,0.000000,0.016180,
demo.24.ground.smt2,,par_async,32,0,unsat,0.777167,0.030790,0.283290,0.294690,0.043480,0.000000,0.024980,
