[synthetic_bench] cube n=180 d=2 classes=23328358 merges=180 ...
[pe] round= 16 work=      256 frontier=      512 next=      128 consolidate=  0.074ms frontier=  0.034ms semisort=  0.131ms (keyed= 0.002ms group_by=  0.033ms per_group= 0.045ms)
[pe] round= 17 work=      128 frontier=      256 next=       64 consolidate=  0.046ms frontier=  0.009ms semisort=  0.083ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.028ms)
[pe] round= 18 work=       64 frontier=      128 next=       32 consolidate=  0.045ms frontier=  0.007ms semisort=  0.044ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.019ms)
[pe] round= 19 work=       32 frontier=       64 next=       16 consolidate=  0.033ms frontier=  0.004ms semisort=  0.016ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.008ms)
[pe] round= 20 work=       16 frontier=       32 next=        8 consolidate=  0.018ms frontier=  0.002ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.003ms)
[pe] round= 21 work=        8 frontier=       16 next=        4 consolidate=  0.011ms frontier=  0.002ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 22 work=        4 frontier=        8 next=        2 consolidate=  0.005ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 23 work=        2 frontier=        4 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 24 work=        1 (tail-skip: all parents empty)
[pe-async] round=  0 R=2 dirty= 11664000 runs=  5832000 filter=  6.280ms semisort= 29.967ms
[pe-async] round=  1 R=3 dirty=  7469696 runs=  5372544 filter=  6.175ms semisort= 23.175ms
[pe-async] round=  2 R=4 dirty=  4194304 runs=  2556608 filter=  6.779ms semisort= 10.260ms
[pe-async] round=  3 R=5 dirty=  2097152 runs=  1048576 filter=  6.602ms semisort=  6.788ms
[pe-async] round=  4 R=6 dirty=  1048576 runs=   524288 filter=  6.083ms semisort=  3.882ms
[pe-async] round=  5 R=7 dirty=   524288 runs=   262144 filter=  5.755ms semisort=  2.184ms
[pe-async] round=  6 R=8 dirty=   262144 runs=   131072 filter=  5.545ms semisort=  1.338ms
