[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.004ms frontier=  0.004ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.002ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.004ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate= 52.014ms frontier= 10.154ms semisort= 19.159ms (keyed= 6.063ms group_by=  0.428ms per_group= 5.361ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.729ms frontier=  0.262ms semisort=  3.244ms (keyed= 0.062ms group_by=  2.321ms per_group= 0.435ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.709ms frontier=  0.244ms semisort=  2.960ms (keyed= 0.053ms group_by=  2.193ms per_group= 0.316ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.553ms frontier=  0.202ms semisort=  2.003ms (keyed= 0.041ms group_by=  1.351ms per_group= 0.311ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.338ms frontier=  0.198ms semisort=  0.818ms (keyed= 0.041ms group_by=  0.420ms per_group= 0.168ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.617ms frontier=  0.126ms semisort=  1.452ms (keyed= 0.018ms group_by=  1.152ms per_group= 0.138ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.293ms frontier=  0.074ms semisort=  0.826ms (keyed= 0.013ms group_by=  0.605ms per_group= 0.113ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.149ms frontier=  0.041ms semisort=  0.331ms (keyed= 0.003ms group_by=  0.177ms per_group= 0.058ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.114ms frontier=  0.015ms semisort=  0.168ms (keyed= 0.002ms group_by=  0.063ms per_group= 0.044ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.049ms frontier=  0.011ms semisort=  0.184ms (keyed= 0.037ms group_by=  0.051ms per_group= 0.044ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.073ms frontier=  0.009ms semisort=  0.120ms (keyed= 0.002ms group_by=  0.036ms per_group= 0.036ms)
